	emotions
623	[1, 3, 2, 6, 6, 3, 1, 2, 2, 6, 2, 3, 1, 3, 3, 1, 1, 3, 6, 2, 6, 4, 2, 2, 2, 6, 2, 2, 6, 2, 2, 3, 1, 2, 2, 6, 6, 1, 3, 6, 1, 3, 1, 6, 2, 1, 1, 1, 1, 1, 3, 6, 1, 6, 1, 2, 5, 2, 5, 6, 4, 5, 6, 6, 2, 6, 3, 1, 6, 3, 3, 1, 2, 3, 1, 3, 6, 2, 2, 2, 1, 1, 1, 3, 1, 6, 2, 6, 2, 6, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3]
624	[6, 1, 6, 2, 6, 6, 6, 4, 6, 2, 1, 1, 2, 1, 1, 1, 6, 1, 3, 3, 2, 3, 1, 2, 1, 4, 1, 6, 6, 2, 6, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 3, 2, 2, 6, 6, 1, 1, 1, 1, 2, 5, 2, 1, 2, 2, 1, 6, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 6, 6, 3, 1, 1, 4, 1, 6, 1, 6, 5, 1, 2, 1, 6, 4, 1, 1, 3, 3, 6, 1, 5, 5, 1, 3, 1, 3, 2, 1, 1, 6]
625	[3, 1, 6, 1, 2, 2, 3, 2, 2, 3, 6, 2, 6, 3, 1, 2, 3, 1, 2, 6, 6, 6, 3, 2, 2, 6, 2, 3, 6, 1, 2, 2, 1, 3, 3, 2, 3, 2, 2, 2, 6, 6, 1, 6, 1, 2, 2, 6, 6, 6, 5, 3, 6, 2, 1, 6, 1, 2, 3, 6, 6, 2, 6, 1, 1, 3, 3, 2, 2, 2, 2, 3, 1, 6, 2, 2, 2, 2, 6, 3, 2, 6, 6, 6, 2, 6, 2, 1, 1, 2, 1, 3, 2, 3, 3, 1, 6, 3, 6, 3]
626	[1, 2, 6, 1, 1, 6, 2, 1, 3, 2, 3, 2, 3, 3, 1, 3, 6, 1, 1, 1, 4, 3, 2, 1, 2, 2, 6, 1, 4, 6, 3, 1, 1, 1, 4, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 4, 1, 2, 1, 6, 2, 2, 1, 4, 1, 3, 2, 1, 1, 1, 1, 2, 2, 2, 3, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 3, 3, 4, 1, 2, 2, 2, 1, 5, 6, 2]
627	[1, 2, 2, 2, 2, 2, 2, 6, 2, 2, 6, 3, 1, 2, 6, 6, 2, 5, 1, 3, 6, 1, 1, 1, 1, 2, 3, 2, 3, 1, 1, 2, 1, 1, 1, 6, 1, 1, 6, 2, 3, 1, 6, 1, 2, 2, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 6, 2, 1, 1, 3, 2, 1, 3, 2, 6, 2, 6, 2, 2, 2, 2, 1, 5, 1, 2, 3, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 4, 1, 3, 2, 1, 1, 2, 2, 1, 4, 1]
628	[2, 6, 2, 1, 6, 2, 1, 1, 2, 2, 1, 1, 6, 6, 1, 1, 1, 1, 2, 2, 1, 2, 6, 1, 2, 1, 3, 1, 6, 3, 6, 6, 2, 5, 5, 6, 1, 1, 1, 4, 3, 2, 6, 2, 2, 1, 1, 2, 1, 3, 3, 2, 1, 1, 6, 1, 1, 2, 1, 2, 1, 5, 1, 2, 2, 6, 1, 3, 1, 2, 3, 3, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2]
629	[6, 2, 3, 1, 1, 6, 6, 6, 6, 1, 5, 3, 1, 1, 6, 5, 3, 1, 1, 1, 1, 1, 6, 2, 1, 6, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 3, 6, 6, 6, 3, 3, 3, 2, 2, 2, 2, 6, 1, 2, 1, 2, 1, 1, 1, 2, 1, 6, 2, 1, 1, 4, 1, 1, 2, 3, 1, 3, 6, 1, 1, 1, 2, 4, 3, 1, 3, 1, 1, 2, 1, 1, 3, 6]
630	[1, 3, 2, 3, 2, 3, 6, 2, 2, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 2, 2, 2, 1, 2, 2, 6, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 3, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 2, 2, 3, 1, 3, 1, 2, 3, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 3, 3, 1, 6, 1, 3, 1, 1, 1, 2, 2, 2, 1, 4, 1, 6, 1, 1, 6, 6, 2, 6, 6, 3, 6, 1, 5]
631	[1, 3, 1, 2, 1, 2, 1, 6, 2, 2, 3, 1, 3, 3, 1, 2, 2, 3, 1, 2, 2, 6, 3, 3, 2, 1, 1, 1, 2, 1, 2, 1, 3, 1, 2, 2, 1, 2, 2, 5, 3, 1, 2, 2, 2, 5, 2, 2, 6, 1, 2, 1, 1, 2, 1, 1, 1, 1, 6, 3, 3, 3, 1, 3, 2, 1, 1, 2, 1, 6, 2, 3, 3, 1, 1, 6, 1, 1, 1, 2, 2, 1, 2, 2, 3, 2, 1, 2, 3, 3, 1, 2, 2, 1, 3, 6, 3, 6, 2, 2]
632	[2, 3, 1, 2, 1, 2, 2, 6, 2, 2, 6, 2, 1, 6, 1, 1, 6, 2, 3, 2, 2, 2, 2, 2, 1, 6, 1, 2, 2, 2, 3, 6, 2, 2, 1, 6, 2, 6, 1, 6, 6, 6, 1, 4, 6, 6, 3, 6, 2, 1, 2, 2, 2, 3, 2, 1, 6, 6, 1, 6, 2, 2, 5, 1, 1, 2, 4, 2, 2, 2, 1, 1, 1, 2, 4, 2, 2, 2, 6, 1, 3, 6, 6, 4, 3, 2, 1, 2, 2, 2, 2, 2, 6, 2, 2, 2, 6, 2, 6, 2]
633	[2, 3, 6, 4, 2, 3, 1, 1, 3, 2, 6, 1, 2, 2, 3, 6, 3, 2, 1, 6, 4, 2, 2, 6, 2, 1, 1, 2, 3, 2, 6, 6, 2, 6, 1, 3, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 4, 6, 4, 2, 4, 2, 6, 2, 2, 2, 2, 5, 6, 2, 2, 2, 1, 3, 4, 1, 2, 2, 2, 2, 6, 2, 6, 2, 2, 3, 6, 2, 1, 2, 2, 6, 3, 2, 2, 1, 1, 3, 3, 6, 2, 6, 1, 6, 4, 6, 6]
634	[3, 1, 3, 1, 6, 3, 1, 1, 1, 1, 1, 2, 1, 1, 6, 1, 1, 1, 2, 1, 1, 1, 2, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 6, 1, 3, 6, 2, 3, 1, 6, 6, 6, 2, 1, 1, 1, 1, 6, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 6, 6, 6, 1, 1, 1, 5, 6, 1, 1, 1, 1, 5, 2, 3, 1, 3, 1, 3, 5, 5, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]
635	[6, 1, 6, 1, 1, 1, 2, 3, 6, 6, 6, 1, 2, 1, 6, 2, 1, 1, 6, 3, 1, 1, 1, 1, 3, 1, 2, 3, 2, 1, 1, 4, 6, 1, 6, 6, 4, 6, 6, 2, 6, 1, 2, 6, 3, 6, 4, 1, 1, 6, 6, 4, 6, 1, 1, 1, 1, 6, 2, 3, 3, 6, 2, 4, 4, 3, 1, 6, 2, 1, 2, 6, 2, 6, 6, 6, 3, 1, 4, 1, 1, 2, 1, 2, 3, 3, 1, 1, 3, 3, 1, 1, 2, 1, 1, 6, 1, 6, 4, 1]
636	[4, 2, 2, 1, 2, 6, 3, 6, 2, 1, 6, 2, 2, 6, 6, 6, 6, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 1, 6, 1, 3, 2, 2, 1, 1, 2, 3, 2, 6, 1, 1, 1, 2, 1, 6, 1, 1, 6, 1, 2, 2, 3, 2, 2, 1, 6, 6, 6, 1, 1, 6, 1, 2, 1, 6, 1, 2, 1, 1, 1, 6, 6, 2, 1, 1, 3, 2, 5, 1, 3, 2, 1, 2, 3, 1, 2, 1, 1, 3, 6, 1, 3, 2, 3, 6]
637	[2, 6, 6, 6, 2, 1, 6, 6, 1, 1, 1, 2, 6, 6, 6, 2, 6, 1, 6, 6, 2, 1, 5, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 2, 6, 3, 6, 1, 6, 1, 6, 6, 2, 6, 6, 3, 6, 3, 1, 2, 1, 6, 6, 6, 2, 6, 2, 6, 6, 2, 6, 6, 6, 1, 2, 3, 2, 2, 1, 6, 3, 6, 4, 6, 3, 6, 3, 1, 1, 5, 6, 6, 2, 2, 5, 6, 2, 2, 6, 6, 6, 3, 3, 6, 6, 1, 3, 6]
638	[2, 2, 2, 1, 3, 2, 1, 4, 6, 2, 4, 2, 2, 2, 2, 3, 1, 2, 6, 5, 3, 2, 2, 2, 1, 6, 2, 6, 2, 3, 3, 1, 2, 3, 6, 1, 6, 1, 1, 6, 2, 1, 2, 3, 6, 3, 2, 2, 2, 6, 6, 6, 3, 1, 3, 3, 1, 6, 3, 2, 6, 1, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 2, 4, 2, 6, 3, 2, 3, 5, 3, 6, 6, 6, 6, 3, 5, 3, 3, 2, 2, 2, 6]
639	[2, 1, 2, 2, 6, 2, 1, 4, 2, 2, 6, 2, 2, 2, 3, 2, 2, 2, 2, 2, 6, 1, 2, 6, 2, 1, 1, 2, 6, 2, 1, 1, 6, 4, 6, 6, 2, 2, 6, 2, 3, 6, 3, 2, 6, 6, 2, 2, 2, 2, 1, 2, 6, 4, 2, 2, 2, 2, 3, 1, 6, 1, 2, 2, 1, 2, 1, 6, 4, 2, 2, 1, 1, 2, 3, 3, 2, 3, 3, 1, 6, 1, 1, 2, 1, 6, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 1, 2]
640	[1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 6, 6, 3, 3, 1, 6, 6, 2, 2, 4, 3, 1, 2, 6, 1, 3, 2, 6, 3, 6, 2, 1, 1, 1, 2, 2, 3, 3, 1, 1, 1, 1, 3, 2, 6, 3, 1, 1, 2, 1, 1, 1, 6, 6, 3, 6, 6, 1, 2, 2, 5, 1, 6, 1, 1, 1, 6, 6, 3, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 6, 1, 2, 1, 2, 1, 2, 6]
641	[1, 2, 3, 3, 3, 3, 1, 1, 2, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 2, 5, 2, 3, 2, 2, 2, 2, 2, 1, 5, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 6, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 6]
642	[2, 3, 2, 6, 6, 5, 1, 5, 2, 2, 5, 2, 2, 2, 1, 2, 6, 6, 6, 2, 6, 2, 2, 6, 2, 6, 6, 1, 2, 6, 2, 6, 6, 6, 3, 6, 6, 2, 2, 6, 3, 6, 6, 5, 6, 2, 3, 6, 3, 3, 2, 6, 2, 6, 3, 6, 6, 2, 4, 2, 2, 2, 1, 6, 2, 5, 1, 6, 3, 3, 2, 3, 2, 2, 2, 1, 6, 2, 6, 2, 3, 6, 6, 2, 2, 2, 6, 3, 2, 3, 6, 2, 6, 2, 3, 2, 3, 5, 6, 2]
643	[6, 6, 6, 2, 6, 2, 2, 6, 2, 6, 2, 1, 3, 1, 1, 6, 3, 6, 6, 6, 6, 6, 6, 1, 3, 2, 3, 6, 1, 1, 6, 6, 6, 1, 6, 4, 1, 1, 6, 1, 2, 3, 6, 6, 2, 1, 2, 3, 1, 1, 2, 6, 6, 5, 6, 1, 1, 3, 1, 6, 6, 1, 6, 2, 6, 6, 4, 6, 1, 3, 3, 2, 6, 3, 1, 2, 1, 1, 6, 2, 6, 3, 6, 6, 6, 6, 6, 2, 6, 1, 2, 2, 6, 2, 2, 6, 6, 6, 6, 2]
644	[6, 2, 1, 1, 3, 4, 1, 2, 2, 2, 2, 2, 2, 1, 6, 6, 2, 6, 2, 1, 2, 1, 3, 2, 3, 3, 4, 6, 1, 2, 2, 2, 6, 2, 1, 2, 1, 6, 2, 6, 3, 2, 1, 6, 4, 2, 4, 6, 1, 1, 3, 6, 1, 2, 2, 1, 4, 6, 2, 2, 6, 1, 6, 6, 6, 3, 4, 2, 2, 6, 2, 1, 2, 2, 1, 1, 2, 6, 6, 2, 3, 4, 6, 3, 2, 2, 2, 1, 2, 6, 6, 2, 2, 2, 2, 2, 1, 1, 6, 6]
645	[6, 2, 2, 1, 1, 1, 1, 6, 6, 2, 2, 2, 5, 6, 6, 1, 6, 6, 2, 2, 6, 6, 2, 6, 1, 5, 2, 2, 3, 6, 1, 1, 2, 2, 6, 2, 3, 2, 3, 2, 2, 6, 2, 2, 2, 6, 2, 6, 2, 2, 6, 3, 2, 1, 2, 6, 2, 2, 1, 6, 2, 3, 6, 3, 2, 5, 2, 2, 2, 2, 2, 2, 6, 2, 3, 6, 2, 2, 6, 6, 2, 3, 2, 6, 6, 1, 2, 6, 2, 1, 2, 2, 2, 1, 2, 2, 6, 4, 5, 6]
646	[2, 6, 1, 6, 2, 2, 3, 2, 3, 2, 2, 2, 6, 3, 6, 6, 2, 6, 1, 2, 6, 2, 2, 2, 2, 2, 6, 6, 6, 6, 2, 1, 1, 3, 2, 6, 3, 2, 2, 6, 1, 6, 6, 4, 6, 2, 2, 2, 6, 2, 2, 2, 6, 1, 3, 2, 2, 2, 6, 3, 6, 2, 2, 1, 1, 1, 1, 1, 6, 3, 1, 4, 2, 2, 2, 2, 1, 2, 1, 6, 3, 1, 3, 6, 2, 6, 6, 1, 2, 1, 2, 6, 2, 2, 2, 6, 6, 2, 1, 2]
647	[1, 1, 2, 6, 5, 2, 5, 6, 2, 6, 2, 3, 1, 2, 1, 3, 3, 3, 6, 2, 2, 2, 6, 2, 2, 6, 6, 1, 4, 6, 1, 1, 2, 2, 3, 6, 2, 2, 2, 1, 2, 2, 1, 5, 1, 1, 2, 6, 2, 1, 2, 1, 1, 1, 1, 3, 6, 3, 2, 5, 3, 1, 2, 2, 3, 6, 2, 1, 1, 3, 2, 2, 1, 1, 3, 4, 6, 2, 6, 5, 6, 4, 2, 2, 2, 1, 2, 1, 6, 1, 2, 2, 2, 2, 2, 1, 2, 6, 5, 3]
648	[2, 1, 3, 2, 6, 3, 6, 6, 6, 6, 6, 2, 6, 1, 1, 3, 6, 1, 4, 3, 3, 2, 6, 1, 3, 2, 2, 5, 1, 6, 2, 6, 1, 3, 2, 6, 1, 1, 1, 1, 1, 2, 6, 6, 6, 6, 3, 1, 3, 1, 2, 1, 2, 6, 6, 2, 1, 1, 6, 1, 2, 3, 2, 6, 1, 2, 3, 1, 6, 1, 1, 1, 1, 1, 1, 4, 2, 6, 6, 4, 2, 2, 2, 4, 2, 2, 2, 1, 6, 6, 2, 2, 1, 6, 1, 3, 1, 1, 1, 6]
649	[1, 6, 2, 2, 1, 3, 1, 1, 4, 5, 1, 6, 6, 1, 1, 6, 2, 6, 2, 1, 2, 4, 6, 2, 3, 1, 1, 2, 2, 1, 2, 3, 3, 1, 2, 1, 2, 3, 1, 6, 1, 2, 1, 2, 2, 4, 6, 2, 2, 4, 2, 1, 2, 2, 1, 2, 2, 1, 4, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 6, 1, 2, 2, 3, 1, 3, 4, 2, 2, 2, 2, 3, 2, 1, 2, 6, 6, 6, 4, 4, 6, 2, 6, 2, 5, 3, 6, 1, 4, 6]
650	[2, 5, 3, 1, 1, 2, 1, 2, 1, 3, 2, 2, 6, 1, 2, 1, 6, 2, 6, 6, 2, 5, 2, 1, 6, 4, 6, 1, 2, 1, 6, 2, 5, 1, 1, 1, 2, 1, 1, 6, 2, 2, 5, 2, 2, 3, 2, 6, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 6, 5, 1, 1, 3, 2, 2, 2, 6, 1, 2, 1, 2, 6, 2, 2, 1, 2, 2, 2, 2, 1, 6, 3, 2, 6, 2, 6, 6, 2, 4, 1, 2, 3, 6, 1, 2, 2, 6, 2, 2, 6]
651	[2, 2, 1, 6, 6, 6, 4, 1, 2, 6, 2, 6, 3, 1, 6, 3, 6, 6, 2, 6, 6, 6, 2, 1, 1, 3, 1, 2, 1, 2, 2, 2, 6, 1, 2, 6, 1, 3, 2, 1, 2, 3, 2, 2, 2, 1, 1, 1, 6, 1, 1, 6, 6, 6, 1, 1, 6, 6, 6, 1, 2, 2, 1, 3, 6, 2, 1, 4, 5, 4, 1, 2, 2, 1, 2, 2, 2, 6, 2, 1, 6, 1, 2, 1, 1, 1, 3, 3, 1, 2, 2, 1, 6, 1, 6, 1, 1, 2, 3, 6]
652	[2, 6, 2, 5, 3, 5, 6, 6, 2, 6, 6, 6, 2, 1, 6, 2, 6, 2, 2, 5, 2, 2, 1, 6, 2, 6, 6, 1, 6, 1, 2, 3, 2, 1, 6, 1, 2, 3, 3, 3, 3, 1, 3, 2, 6, 6, 1, 1, 1, 2, 2, 6, 2, 3, 2, 2, 1, 2, 2, 6, 2, 2, 2, 2, 6, 6, 6, 1, 1, 3, 1, 3, 6, 2, 3, 2, 6, 6, 3, 6, 3, 1, 6, 6, 2, 1, 6, 3, 1, 3, 3, 3, 2, 2, 2, 6, 2, 3, 1, 2]
653	[1, 2, 2, 1, 1, 4, 1, 2, 1, 1, 1, 2, 6, 2, 6, 2, 2, 1, 1, 2, 1, 1, 1, 6, 2, 6, 2, 6, 6, 6, 3, 1, 3, 3, 6, 2, 1, 2, 6, 2, 1, 6, 1, 2, 3, 1, 1, 3, 2, 1, 2, 1, 3, 1, 2, 5, 1, 3, 2, 2, 1, 3, 2, 6, 1, 3, 3, 1, 1, 1, 2, 1, 1, 4, 1, 2, 3, 3, 1, 1, 2, 1, 1, 3, 6, 6, 6, 1, 6, 2, 6, 6, 6, 2, 6, 4, 1, 6, 6, 6]
654	[4, 1, 6, 6, 6, 6, 6, 6, 1, 1, 6, 3, 2, 3, 1, 6, 6, 4, 2, 2, 4, 1, 6, 1, 3, 1, 1, 2, 6, 6, 3, 1, 6, 1, 2, 6, 6, 1, 1, 3, 3, 1, 6, 5, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 6, 6, 1, 1, 2, 6, 6, 1, 2, 1, 1, 6, 1, 1, 1, 1, 2, 1, 6, 2, 3, 6, 2, 1, 3, 6, 6, 1, 1, 6, 1, 2, 1, 2, 3, 3, 1, 2, 2, 2, 3, 2, 6, 6]
655	[3, 6, 2, 2, 3, 3, 1, 6, 6, 2, 5, 5, 3, 1, 1, 1, 6, 6, 6, 1, 6, 1, 2, 1, 1, 6, 6, 2, 6, 6, 1, 1, 2, 1, 1, 1, 2, 2, 2, 6, 1, 2, 2, 6, 6, 2, 3, 1, 1, 1, 2, 3, 2, 1, 4, 2, 6, 2, 2, 2, 6, 1, 6, 2, 3, 3, 3, 6, 6, 2, 1, 2, 1, 5, 6, 6, 1, 6, 6, 2, 6, 2, 1, 6, 6, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 5, 3, 1, 3, 6]
656	[6, 6, 2, 6, 6, 6, 2, 1, 2, 6, 1, 6, 1, 6, 4, 2, 2, 6, 6, 2, 2, 6, 6, 4, 6, 3, 6, 3, 2, 6, 6, 3, 6, 2, 6, 2, 3, 1, 6, 6, 5, 6, 3, 6, 6, 6, 3, 1, 6, 3, 6, 2, 3, 2, 2, 3, 3, 6, 2, 6, 6, 3, 6, 3, 3, 3, 6, 2, 2, 2, 2, 2, 6, 6, 2, 1, 2, 1, 3, 2, 2, 6, 6, 6, 2, 2, 6, 6, 6, 2, 6, 6, 3, 5, 6, 2, 3, 2, 6, 3]
657	[2, 2, 4, 6, 3, 5, 3, 6, 2, 3, 3, 2, 6, 2, 2, 4, 6, 2, 6, 3, 1, 3, 2, 2, 2, 2, 2, 6, 1, 6, 3, 3, 6, 2, 2, 2, 2, 1, 3, 1, 6, 4, 3, 1, 2, 3, 2, 1, 6, 6, 1, 6, 2, 2, 2, 6, 1, 6, 6, 6, 6, 6, 2, 2, 6, 3, 5, 3, 6, 3, 6, 6, 2, 2, 6, 6, 6, 6, 2, 6, 6, 3, 6, 3, 2, 1, 2, 3, 6, 6, 2, 3, 6, 4, 6, 3, 6, 2, 3, 6]
658	[2, 1, 6, 6, 1, 4, 2, 1, 6, 2, 6, 6, 3, 3, 3, 6, 1, 1, 3, 2, 2, 1, 5, 2, 3, 2, 2, 2, 2, 6, 6, 2, 2, 3, 3, 5, 2, 2, 1, 2, 1, 5, 2, 6, 2, 2, 1, 6, 3, 3, 6, 1, 6, 3, 2, 3, 2, 3, 6, 3, 6, 1, 3, 2, 2, 1, 2, 1, 2, 1, 5, 3, 6, 2, 6, 3, 2, 1, 2, 1, 2, 2, 1, 2, 3, 3, 2, 3, 6, 2, 2, 5, 3, 5, 1, 1, 2, 4, 2, 6]
659	[2, 3, 1, 6, 5, 6, 1, 1, 6, 2, 1, 2, 5, 2, 3, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 2, 1, 1, 2, 2, 6, 2, 2, 2, 2, 1, 2, 2, 6, 2, 2, 2, 2, 6, 2, 1, 5, 6, 6, 6, 5, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 5, 5, 2, 2, 2, 6, 3, 3, 2, 2, 2, 2, 6, 2, 2, 2, 2, 1, 3, 2, 6, 6, 2, 6]
660	[3, 3, 1, 1, 1, 3, 1, 2, 1, 3, 1, 6, 6, 1, 6, 6, 1, 2, 6, 6, 3, 1, 6, 6, 1, 6, 6, 3, 6, 3, 2, 1, 3, 2, 4, 1, 1, 6, 3, 6, 6, 1, 6, 3, 2, 6, 3, 1, 2, 2, 3, 6, 6, 2, 6, 1, 1, 3, 2, 6, 6, 2, 1, 2, 6, 1, 3, 2, 6, 2, 1, 1, 3, 2, 2, 1, 1, 1, 4, 2, 1, 1, 6, 1, 6, 6, 6, 6, 2, 3, 3, 2, 1, 2, 2, 3, 2, 1, 1, 1]
661	[6, 2, 3, 2, 1, 6, 3, 2, 1, 1, 3, 1, 3, 3, 6, 6, 2, 3, 2, 6, 5, 2, 2, 2, 3, 2, 1, 2, 2, 6, 3, 2, 2, 6, 2, 6, 6, 2, 1, 2, 6, 4, 6, 6, 1, 1, 1, 3, 6, 2, 6, 3, 3, 6, 2, 3, 3, 6, 2, 6, 4, 2, 3, 1, 6, 3, 6, 2, 6, 2, 2, 2, 6, 6, 1, 6, 6, 2, 1, 2, 3, 6, 6, 1, 1, 6, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 6, 3, 5, 6]
662	[2, 2, 3, 3, 2, 6, 6, 2, 2, 1, 3, 6, 6, 3, 6, 2, 2, 2, 2, 3, 2, 6, 2, 1, 5, 6, 6, 6, 4, 1, 1, 1, 1, 2, 6, 3, 1, 2, 3, 3, 1, 6, 5, 1, 6, 3, 1, 2, 1, 1, 3, 5, 6, 6, 6, 6, 2, 3, 6, 1, 2, 2, 2, 1, 2, 5, 5, 1, 6, 2, 2, 2, 1, 3, 3, 1, 3, 2, 3, 2, 6, 5, 2, 5, 6, 6, 1, 3, 2, 2, 2, 2, 2, 2, 2, 1, 6, 2, 3, 6]
663	[6, 6, 5, 2, 5, 3, 6, 3, 6, 3, 3, 3, 6, 2, 6, 6, 6, 2, 2, 6, 6, 1, 6, 6, 6, 2, 6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 2, 3, 5, 6, 3, 6, 2, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 1, 2, 2, 6, 6, 6, 3, 1, 6, 6, 2, 2, 6, 6, 2, 2, 6, 3, 2, 6, 6, 2, 2, 6, 6, 6, 6, 6]
664	[1, 1, 6, 6, 6, 6, 1, 6, 6, 3, 6, 2, 2, 6, 2, 2, 3, 1, 6, 2, 6, 3, 6, 1, 6, 2, 6, 4, 6, 4, 1, 1, 2, 4, 6, 2, 2, 2, 2, 6, 1, 1, 6, 4, 2, 5, 5, 4, 6, 6, 6, 2, 1, 2, 2, 6, 1, 6, 6, 6, 6, 6, 1, 6, 2, 6, 2, 1, 2, 2, 1, 2, 1, 3, 6, 3, 1, 2, 3, 6, 3, 1, 2, 6, 6, 1, 2, 6, 1, 2, 1, 3, 5, 1, 2, 5, 2, 2, 1, 4]
665	[2, 6, 1, 2, 4, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 2, 2, 2, 3, 2, 1, 1, 2, 2, 2, 1, 6, 6, 6, 2, 2, 6, 6, 1, 3, 2, 2, 2, 2, 1, 1, 2, 6, 2, 1, 1, 2, 2, 6, 2, 1, 6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 6, 4, 2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 1, 6, 6, 1, 2, 2, 1, 6, 3, 6, 6, 2, 1, 1, 2, 2, 2, 3, 6, 1, 3, 1]
666	[6, 2, 2, 2, 6, 2, 2, 2, 6, 6, 6, 1, 3, 6, 2, 6, 3, 6, 5, 2, 6, 2, 3, 1, 3, 6, 6, 2, 6, 2, 6, 6, 5, 6, 6, 1, 6, 2, 3, 1, 3, 6, 2, 1, 3, 1, 6, 2, 2, 2, 1, 5, 6, 2, 1, 6, 2, 2, 4, 6, 3, 2, 1, 6, 2, 2, 2, 1, 2, 1, 2, 6, 3, 1, 6, 6, 1, 6, 2, 6, 6, 3, 6, 3, 2, 4, 6, 6, 3, 3, 6, 1, 6, 3, 3, 6, 6, 1, 2, 2]
667	[2, 1, 6, 2, 1, 3, 2, 2, 6, 2, 2, 2, 2, 2, 1, 1, 6, 6, 1, 2, 6, 6, 5, 5, 6, 6, 1, 2, 6, 1, 2, 1, 1, 2, 2, 2, 1, 6, 1, 2, 1, 6, 2, 2, 4, 4, 2, 6, 2, 6, 1, 6, 2, 1, 4, 1, 1, 1, 4, 2, 2, 2, 2, 3, 1, 1, 2, 1, 2, 2, 2, 6, 2, 2, 2, 1, 3, 3, 1, 1, 6, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2, 2]
668	[6, 6, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 6, 2, 1, 1, 1, 2, 2, 5, 1, 1, 1, 1, 1, 6, 2, 2, 6, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 6, 2, 6, 6, 2, 6, 6, 1, 1, 6, 5, 1, 3, 6, 1, 1, 6, 6, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 6, 1, 6, 3, 3, 1, 2, 6, 1, 1, 2, 6, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 3, 6, 2]
